,sc_id,supercon_formula,cleaned_formula,material_dict,highest_Tc,average_Tc,std_Tc,entry_count,composition
1169,[24233],Sm1Fe1As1H0.34O0.64,Sm1Fe1As1H0.34O0.64,"{'As': 1.0, 'Fe': 1.0, 'H': 0.34, 'O': 0.64, 'Sm': 1.0}",51.8,51.8,0.0,1,Sm1 Fe1 As1 H0.34 O0.64
1170,[22972],La1Fe1As1H0.35,La1Fe1As1H0.35,"{'As': 1.0, 'Fe': 1.0, 'H': 0.35000000000000003, 'La': 1.0}",29.0,29.0,0.0,1,La1 Fe1 As1 H0.35
1171,[23997],La1Fe1As1H0.36O0.64,La1Fe1As1H0.36O0.64,"{'As': 1.0, 'Fe': 1.0, 'H': 0.36, 'La': 1.0, 'O': 0.64}",36.0,36.0,0.0,1,La1 Fe1 As1 H0.36 O0.64
1172,[24465],La1Fe1As1H0.4O0.6,La1Fe1As1H0.4O0.6,"{'As': 1.0, 'Fe': 1.0, 'H': 0.4, 'La': 1.0, 'O': 0.6000000000000001}",23.9,23.9,0.0,1,La1 Fe1 As1 H0.4 O0.6
1173,[23780],Sm1Fe1As1H0.4O0.6,Sm1Fe1As1H0.4O0.6,"{'As': 1.0, 'Fe': 1.0, 'H': 0.4, 'O': 0.6000000000000001, 'Sm': 1.0}",46.4,46.4,0.0,1,Sm1 Fe1 As1 H0.4 O0.6
1174,[24464],La1Fe1As1H0.41O0.59,La1Fe1As1H0.41O0.59,"{'As': 1.0, 'Fe': 1.0, 'H': 0.41000000000000003, 'La': 1.0, 'O': 0.59}",19.5,19.5,0.0,1,La1 Fe1 As1 H0.41 O0.59
1175,[24463],La1Fe1As1H0.42O0.58,La1Fe1As1H0.42O0.58,"{'As': 1.0, 'Fe': 1.0, 'H': 0.42, 'La': 1.0, 'O': 0.58}",20.3,20.3,0.0,1,La1 Fe1 As1 H0.42 O0.58
1176,[24234],Sm1Fe1As1H0.43O0.57,Sm1Fe1As1H0.43O0.57,"{'As': 1.0, 'Fe': 1.0, 'H': 0.43, 'O': 0.5700000000000001, 'Sm': 1.0}",45.0,45.0,0.0,1,Sm1 Fe1 As1 H0.43 O0.57
1177,[23998],La1Fe1As1H0.44O0.56,La1Fe1As1H0.44O0.56,"{'As': 1.0, 'Fe': 1.0, 'H': 0.44, 'La': 1.0, 'O': 0.56}",21.0,21.0,0.0,1,La1 Fe1 As1 H0.44 O0.56
1178,[24462],La1Fe1As1H0.45O0.55,La1Fe1As1H0.45O0.55,"{'As': 1.0, 'Fe': 1.0, 'H': 0.45, 'La': 1.0, 'O': 0.55}",0.0,0.0,0.0,1,La1 Fe1 As1 H0.45 O0.55
1179,[23774],La1Fe1As1H0.46O0.54,La1Fe1As1H0.46O0.54,"{'As': 1.0, 'Fe': 1.0, 'H': 0.46, 'La': 1.0, 'O': 0.54}",36.2,36.2,0.0,1,La1 Fe1 As1 H0.46 O0.54
1180,[22973],La1Fe1As1H0.55,La1Fe1As1H0.55,"{'As': 1.0, 'Fe': 1.0, 'H': 0.55, 'La': 1.0}",30.5,30.5,0.0,1,La1 Fe1 As1 H0.55
1181,[24658],La1Fe1As1H0.58O0.58,La1Fe1As1H0.58O0.58,"{'As': 1.0, 'Fe': 1.0, 'H': 0.58, 'La': 1.0, 'O': 0.58}",32.0,32.0,0.0,1,La1 Fe1 As1 H0.58 O0.58
1182,[22030],La1Fe1As1H0.6O0.6,La1Fe1As1H0.6O0.6,"{'As': 1.0, 'Fe': 1.0, 'H': 0.6000000000000001, 'La': 1.0, 'O': 0.6000000000000001}",35.0,35.0,0.0,1,La1 Fe1 As1 H0.6 O0.6
1183,[22032],Pr1Fe1As1H0.6O0.6,Pr1Fe1As1H0.6O0.6,"{'As': 1.0, 'Fe': 1.0, 'H': 0.6000000000000001, 'O': 0.6000000000000001, 'Pr': 1.0}",49.7,49.7,0.0,1,Pr1 Fe1 As1 H0.6 O0.6
1184,[22974],La1Fe1As1H0.7,La1Fe1As1H0.7,"{'As': 1.0, 'Fe': 1.0, 'H': 0.7000000000000001, 'La': 1.0}",32.5,32.5,0.0,1,La1 Fe1 As1 H0.7
1185,[22975],La1Fe1As1H0.85,La1Fe1As1H0.85,"{'As': 1.0, 'Fe': 1.0, 'H': 0.85, 'La': 1.0}",35.0,35.0,0.0,1,La1 Fe1 As1 H0.85
1186,[21055],Ho1Fe1As1O0.85,Ho1Fe1As1O0.85,"{'As': 1.0, 'Fe': 1.0, 'Ho': 1.0, 'O': 0.85}",49.1,49.1,0.0,1,Ho1 Fe1 As1 O0.85
1187,[21613],La0.5Y0.5Fe1As1O0.6,La0.5Y0.5Fe1As1O0.6,"{'As': 1.0, 'Fe': 1.0, 'La': 0.5, 'O': 0.6000000000000001, 'Y': 0.5}",39.3,39.3,0.0,1,La0.5 Y0.5 Fe1 As1 O0.6
1188,[21612],La0.6Y0.4Fe1As1O0.6,La0.6Y0.4Fe1As1O0.6,"{'As': 1.0, 'Fe': 1.0, 'La': 0.6000000000000001, 'O': 0.6000000000000001, 'Y': 0.4}",38.8,38.8,0.0,1,La0.6 Y0.4 Fe1 As1 O0.6
1189,[21611],La0.7Y0.3Fe1As1O0.6,La0.7Y0.3Fe1As1O0.6,"{'As': 1.0, 'Fe': 1.0, 'La': 0.7000000000000001, 'O': 0.6000000000000001, 'Y': 0.30000000000000004}",35.6,35.6,0.0,1,La0.7 Y0.3 Fe1 As1 O0.6
1190,[21481],La0.77Sm0.1Sr0.13Fe1As1O1,La0.77Sm0.1Sr0.13Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.77, 'O': 1.0, 'Sm': 0.1, 'Sr': 0.13}",18.0,18.0,0.0,1,La0.77 Sm0.1 Sr0.13 Fe1 As1 O1
1191,[21610],La0.8Y0.2Fe1As1O0.6,La0.8Y0.2Fe1As1O0.6,"{'As': 1.0, 'Fe': 1.0, 'La': 0.8, 'O': 0.6000000000000001, 'Y': 0.2}",32.5,32.5,0.0,1,La0.8 Y0.2 Fe1 As1 O0.6
1192,[24657],La0.8Y0.2Fe1As1O0.7,La0.8Y0.2Fe1As1O0.7,"{'As': 1.0, 'Fe': 1.0, 'La': 0.8, 'O': 0.7000000000000001, 'Y': 0.2}",34.0,34.0,0.0,1,La0.8 Y0.2 Fe1 As1 O0.7
1193,[21276],La0.8Sr0.2Fe1As1O1,La0.8Sr0.2Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.8, 'O': 1.0, 'Sr': 0.2}",24.9,24.9,0.0,1,La0.8 Sr0.2 Fe1 As1 O1
1194,[22401],La0.81Sm0.06Sr0.13Fe1As1O1,La0.81Sm0.06Sr0.13Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.81, 'O': 1.0, 'Sm': 0.06, 'Sr': 0.13}",18.5,18.5,0.0,1,La0.81 Sm0.06 Sr0.13 Fe1 As1 O1
1195,"[20683, 21275]",La0.85Sr0.15Fe1As1O1-z,La0.85Sr0.15Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.85, 'O': 1.0, 'Sr': 0.15}",25.4,24.2,1.2,2,La0.85 Sr0.15 Fe1 As1 O1
1196,"[20477, 21274, 21480]",La0.87Sr0.13Fe1As1O1,La0.87Sr0.13Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.87, 'O': 1.0, 'Sr': 0.13}",25.9,22.0666666667,2.7133415233,3,La0.87 Sr0.13 Fe1 As1 O1
1197,[21273],La0.89Sr0.11Fe1As1O1,La0.89Sr0.11Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.89, 'O': 1.0, 'Sr': 0.11}",25.5,25.5,0.0,1,La0.89 Sr0.11 Fe1 As1 O1
1198,[21609],La0.9Y0.1Fe1As1O0.6,La0.9Y0.1Fe1As1O0.6,"{'As': 1.0, 'Fe': 1.0, 'La': 0.9, 'O': 0.6000000000000001, 'Y': 0.1}",25.6,25.6,0.0,1,La0.9 Y0.1 Fe1 As1 O0.6
1199,[21272],La0.9Sr0.1Fe1As1O1,La0.9Sr0.1Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.9, 'O': 1.0, 'Sr': 0.1}",24.6,24.6,0.0,1,La0.9 Sr0.1 Fe1 As1 O1
1200,[21271],La0.92Sr0.08Fe1As1O1,La0.92Sr0.08Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.92, 'O': 1.0, 'Sr': 0.08}",18.9,18.9,0.0,1,La0.92 Sr0.08 Fe1 As1 O1
1201,[21270],La0.96Sr0.04Fe1As1O1,La0.96Sr0.04Fe1As1O1,"{'As': 1.0, 'Fe': 1.0, 'La': 0.96, 'O': 1.0, 'Sr': 0.04}",3.65,3.65,0.0,1,La0.96 Sr0.04 Fe1 As1 O1
1202,"[20766, 21614]",La1Fe1As1O0.6,La1Fe1As1O0.6,"{'As': 1.0, 'Fe': 1.0, 'La': 1.0, 'O': 0.6000000000000001}",27.0,24.4,2.6,2,La1 Fe1 As1 O0.6
1203,"[20928, 22036]",La1Fe1As1O0.7,La1Fe1As1O0.7,"{'As': 1.0, 'Fe': 1.0, 'La': 1.0, 'O': 0.7000000000000001}",28.4,28.4,0.0,2,La1 Fe1 As1 O0.7
1204,"[20561, 21830, 22970]",La1Fe1As1O0.85,La1Fe1As1O0.85,"{'As': 1.0, 'Fe': 1.0, 'La': 1.0, 'O': 0.85}",28.3,25.7666666667,1.8372685039,3,La1 Fe1 As1 O0.85
1205,[22743],La1Fe1As1O0.89,La1Fe1As1O0.89,"{'As': 1.0, 'Fe': 1.0, 'La': 1.0, 'O': 0.89}",27.8,27.8,0.0,1,La1 Fe1 As1 O0.89
1206,"[21152, 21442]",La1Fe1As1O1.0,La1Fe1As1O1.0,"{'As': 1.0, 'Fe': 1.0, 'La': 1.0, 'O': 1.0}",21.0,15.6,5.4,2,La1 Fe1 As1 O1
1207,[21149],Li0.8Fe1As1,Li0.8Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Li': 0.8}",17.6,17.6,0.0,1,Li0.8 Fe1 As1
